population
1136.6
380.2
138.8
694.2
401.9
105.2
48.2
467.7
207.7
486.9
312.8
1136.6
382.4
138.8
693.5
401.4
105.2
47.7
468.0
208.1
488.8
313.0
1152.5
386.9
139.8
700.4
404.5
108.8
47.6
474.1
211.3
499.9
310.6
1152.5
386.9
139.8
700.4
404.5
108.8
47.6
474.1
211.3
499.9
310.6
1172.7
393.7
140.3
707.5
407.1
109.7
47.0
479.5
214.2
511.3
314.6
1171.2
394.2
139.2
703.9
405.1
108.9
46.3
476.9
213.5
511.1
313.5
1171.2
394.2
139.2
703.9
405.1
108.9
46.3
476.9
213.5
511.1
313.5
1171.2
394.2
139.2
703.9
405.1
108.9
46.3
476.9
213.5
511.1
313.5
1171.2
394.2
139.2
703.9
405.1
108.9
46.3
476.9
213.5
511.1
313.5
1171.2
394.2
139.2
703.9
405.1
108.9
46.3
476.9
213.5
511.1
313.5
